           Id         Description                  Location                     Room          Affl          Panel Id         Dest Rack Id   SystemType   
Cable:     TD132      D: SPEAKER (SUBS)            L: AUDITORIUM                R: G16        A: CEILING    FROM: SX855B     TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD133      D: TECH PANEL                L: SUB STAGE                 R: B01        A: 300        FROM: TP001      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD134      D: TECH PANEL                L: SUB STAGE                 R: B01        A: 300        FROM: TP002      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD135      D: TECH PANEL                L: SUB STAGE                 R: B01        A: 300        FROM: TP003      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD136      D: TECH PANEL (SM Panel)     L: PERF LOCK                 R: G23        A: 300        FROM: TP201A     TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD137      D: TECH PANEL (SM Panel)     L: PERF LOCK                 R: G23        A: 300        FROM: TP201A     TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD138      D: TECH PANEL (SM Panel)     L: STAGE                     R: G15        A: 300        FROM: TP202      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD139      D: TECH PANEL (SM Panel)     L: STAGE                     R: G15        A: 300        FROM: TP202      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD140      D: TECH PANEL                L: STAGE                     R: G15        A: 300        FROM: TP203      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD141      D: TECH PANEL                L: STAGE                     R: G15        A: 300        FROM: TP203      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD142      D: TECH PANEL                L: STAGE                     R: G15        A: 300        FROM: TP204      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD143      D: TECH PANEL                L: STAGE                     R: G15        A: 300        FROM: TP204      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD144      D: TECH PANEL (Power Lock)   L: STAGE                     R: G15        A: 300        FROM: TP205      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD145      D: TECH PANEL                L: FORESTAGE                 R: B02        A: 300        FROM: TP251      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD146      D: TECH PANEL                L: FORESTAGE                 R: B02        A: 300        FROM: TP251      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD147      D: TECH PANEL                L: FORESTAGE                 R: B02        A: 300        FROM: TP252      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD148      D: TECH PANEL                L: FORESTAGE                 R: B02        A: 300        FROM: TP252      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD149      D: TECH PANEL                L: TECH (GALLERY)            R: 218        A: 300        FROM: TP601      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD150      D: TECH PANEL                L: TECH (GALLERY)            R: 218        A: 300        FROM: TP601      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD151      D: TECH PANEL                L: TECH (GALLERY)            R: 219        A: 300        FROM: TP602      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD152      D: TECH PANEL                L: TECH (GALLERY)            R: 219        A: 300        FROM: TP602      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD153      D: TECH PANEL                L: TECH (GALLERY)            R: 218        A: 300        FROM: TP603      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD154      D: TECH PANEL                L: TECH (GALLERY)            R: 218        A: 300        FROM: TP603      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD155      D: TECH PANEL                L: TECH (GALLERY)            R: 219        A: 300        FROM: TP604      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD156      D: TECH PANEL                L: TECH (GALLERY)            R: 219        A: 300        FROM: TP604      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD157      D: TECH PANEL                L: FLY GALLERY               R:            A: 300        FROM: TP801      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD158      D: TECH PANEL                L: FLY GALLERY               R:            A: 300        FROM: TP801      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD159      D: TECH PANEL                L: FLY GALLERY               R:            A: 300        FROM: TP802      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD160      D: TECH PANEL                L: FLY GALLERY               R:            A: 300        FROM: TP802      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD161      D: TECH PANEL                L: FLY GALLERY               R:            A: 300        FROM: TP803      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD162      D: TECH PANEL                L: FLY GALLERY               R:            A: 300        FROM: TP803      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD163      D: TECH PANEL                L: FLY GALLERY               R:            A: 300        FROM: TP804      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD164      D: TECH PANEL                L: FLY GALLERY               R:            A: 300        FROM: TP804      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD165      D: TECH PANEL                L: CABLE NET                 R:            A: 300        FROM: TP851      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD166      D: TECH PANEL                L: CABLE NET                 R:            A: 300        FROM: TP851      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD167      D: TECH PANEL                L: CABLE NET                 R:            A: 300        FROM: TP851      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD168      D: TECH PANEL                L: CABLE NET                 R:            A: 300        FROM: TP851      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD169      D: TECH PANEL                L: CABLE NET                 R:            A: 300        FROM: TP852      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD170      D: TECH PANEL                L: CABLE NET                 R:            A: 300        FROM: TP852      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD171      D: TECH PANEL                L: CABLE NET                 R:            A: 300        FROM: TP852      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD172      D: TECH PANEL                L: CABLE NET                 R:            A: 300        FROM: TP852      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
Cable:     TD173      D: TECH PANEL                L: CABLE NET                 R:            A: 300        FROM: TP853      TO: ER401      SYS: TECHNICAL_DATA C: <cable typ
